PlayDate,N01,N02,N03,N04,N05,N06,N07
2016-01-02,5,10,12,22,23,27,41
2016-01-09,1,12,24,37,40,44,36
2016-01-16,3,6,14,22,27,33,30
2016-01-23,16,18,31,36,38,40,27
2016-01-30,7,8,10,17,37,41,15
2016-02-06,9,15,18,32,34,36,29
2016-02-13,20,21,22,23,30,35,10
2016-02-20,1,7,10,24,26,27,28
2016-02-27,3,5,7,15,23,38,10
2016-03-05,2,10,11,20,29,31,16
2016-03-12,3,25,29,31,33,38,24
2016-03-19,4,6,7,13,27,35,1
2016-03-26,7,9,16,23,29,43,20
2016-04-02,1,5,12,14,20,24,25
2016-04-09,1,5,20,37,38,42,26
2016-04-16,2,13,31,35,37,39,33
2016-04-23,8,13,14,35,40,43,12
2016-04-30,1,18,22,24,39,43,3
2016-05-07,9,14,20,22,23,36,8
2016-05-14,4,16,17,19,26,36,45
2016-05-21,4,10,13,22,27,43,42
2016-05-28,12,15,17,18,30,32,35
2016-06-04,2,16,17,20,25,38,37
2016-06-11,24,25,26,27,38,45,33
2016-06-18,3,6,13,15,24,30,20
2016-06-25,4,6,9,16,38,39,20
2016-07-02,1,6,8,27,36,43,10
2016-07-09,3,6,9,15,27,43,36
2016-07-16,1,13,27,29,30,40,33
2016-07-23,2,9,12,15,26,35,43
2016-07-30,4,15,17,21,26,40,22
2016-08-06,2,25,27,33,36,41,24
2016-08-13,7,13,15,27,33,37,45
2016-08-20,6,11,20,28,38,42,43
2016-08-27,5,12,17,18,23,34,37
2016-09-03,8,11,27,32,39,42,7
2016-09-10,6,10,13,26,34,38,27
2016-09-17,10,14,17,37,40,41,9
2016-09-24,1,4,6,11,24,36,3
2016-10-01,4,9,16,26,32,43,33
2016-10-08,6,10,13,36,41,44,28
2016-10-15,3,4,19,23,29,44,16
2016-10-22,3,7,15,29,34,40,14
2016-10-29,14,16,28,35,36,40,34
2016-11-05,6,14,20,21,36,39,15
2016-11-12,1,11,13,18,31,40,41
2016-11-19,3,17,19,20,23,38,24
2016-11-26,6,22,30,31,37,43,7
2016-12-03,1,2,17,37,39,45,28
2016-12-10,2,5,12,21,37,42,32
2016-12-17,24,27,29,31,32,41,19
2016-12-24,11,18,20,25,30,37,7
2016-12-31,4,9,21,28,29,40,38
