PlayDate,N01,N02,N03,N04,N05,N06,N07,N08
2011-01-07,2,10,13,15,23,28,49,40
2011-01-14,2,6,10,12,24,30,37,3
2011-01-21,2,18,19,29,42,47,49,17
2011-01-28,7,10,14,20,21,23,31,41
2011-02-04,1,3,13,18,19,39,48,40
2011-02-11,4,6,13,19,26,29,47,43
2011-02-18,3,7,12,16,20,42,48,31
2011-02-25,3,14,19,30,32,39,46,8
2011-03-04,3,18,27,29,32,33,35,47
2011-03-11,2,3,4,20,22,40,43,9
2011-03-18,2,5,10,21,25,35,49,40
2011-03-25,1,4,22,25,26,36,46,5
2011-04-01,5,6,11,12,24,26,34,49
2011-04-08,13,18,25,41,44,48,49,1
2011-04-15,3,12,14,15,25,32,49,37
2011-04-22,7,19,34,35,38,42,46,11
2011-04-29,1,13,20,24,39,45,47,25
2011-05-06,6,19,24,25,26,35,36,23
2011-05-13,7,8,14,32,38,42,44,30
2011-05-20,7,12,14,18,30,45,47,20
2011-05-27,5,9,19,20,21,28,30,36
2011-06-03,8,21,28,32,33,34,48,38
2011-06-10,8,11,12,25,28,30,33,16
2011-06-17,2,7,14,16,22,27,47,25
2011-06-24,2,9,10,15,29,44,48,22
2011-07-01,15,18,20,28,29,40,47,38
2011-07-08,17,22,28,38,41,43,45,5
2011-07-15,3,7,8,12,18,24,41,1
2011-07-22,4,13,23,28,32,40,42,12
2011-07-29,1,2,3,17,24,35,36,30
2011-08-05,11,17,18,20,22,29,45,27
2011-08-12,4,15,21,30,33,35,47,28
2011-08-19,4,14,24,41,43,46,49,1
2011-08-26,6,11,12,14,35,43,44,42
2011-09-02,2,3,8,13,18,20,23,10
2011-09-09,6,8,15,20,30,32,42,17
2011-09-16,12,18,22,24,28,43,49,21
2011-09-23,8,16,24,27,30,38,40,18
2011-09-30,5,6,7,12,14,18,25,38
2011-10-07,12,13,24,25,26,41,43,7
2011-10-14,1,3,7,19,31,39,49,17
2011-10-21,6,23,27,30,34,38,45,21
2011-10-28,2,4,18,20,29,38,41,9
2011-11-04,5,8,13,15,27,28,37,39
2011-11-11,5,7,9,25,31,37,39,22
2011-11-18,8,17,27,28,39,44,49,24
2011-11-25,8,10,15,24,30,35,49,23
2011-12-02,23,29,33,34,39,44,48,32
2011-12-09,3,11,18,19,23,27,44,46
2011-12-16,11,24,26,31,42,44,46,22
2011-12-23,3,4,9,25,26,37,39,45
2011-12-30,2,13,22,28,35,41,42,4
